date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:16	74/74	---MCZ	200	added ('OK')	text/plain	etag:W/%2266d76f68-36%22	https://adalightfoot.org/robots.txt		(from )
12:50:16	10888/10888	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202024%2020:19:52%20GMT	https://adalightfoot.org/	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/index.html	(from )
12:50:16	237339/237339	---M--	200	added ('OK')	image/jpeg	etag:%2266d76f68-39f1b%22	https://adalightfoot.org/assets/images/A-TACS_FG.jpg	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/assets/images/A-TACS_FG.jpg	(from https://adalightfoot.org/)
12:50:16	584/584	---M-Z	200	added ('OK')	application/xml	etag:W/%2266d76f68-248%22	https://adalightfoot.org/feed.xml	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/feed.xml	(from https://adalightfoot.org/)
12:50:17	66002/66002	---M-Z	200	added ('OK')	text/css	etag:W/%2266d76f68-101d2%22	https://adalightfoot.org/assets/css/main.css	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/assets/css/main.css	(from https://adalightfoot.org/)
12:50:17	59305/59305	---M-Z	200	added ('OK')	text/css	etag:W/%22e7a9-pX7mjRFgGw/Y5QN/wkH/ZadURzw%22	https://cdn.jsdelivr.net/npm/@fortawesome/fontawesome-free@5/css/all.min.css	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/cdn.jsdelivr.net/npm/@fortawesome/fontawesome-free@5/css/all.min.css	(from https://adalightfoot.org/)
12:50:18	107720/107720	---M--	200	added ('OK')	image/jpeg	etag:%2266d76f68-1a4c8%22	https://adalightfoot.org/assets/images/minuteman.jpg	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/assets/images/minuteman.jpg	(from https://adalightfoot.org/)
12:50:18	5797/5797	---M--	200	added ('OK')	image/png	etag:%2266d76f68-16a5%22	https://adalightfoot.org/assets/images/spartan-logo.png	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/assets/images/spartan-logo.png	(from https://adalightfoot.org/)
12:50:18	10149/10149	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202024%2020:19:52%20GMT	https://adalightfoot.org/about/	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/about/index.html	(from https://adalightfoot.org/)
12:50:19	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2021%20Mar%202025%2018:50:09%20GMT	https://adalightfoot.org/contact	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/contact	(from https://adalightfoot.org/)
12:50:19	11970/11970	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202024%2020:19:52%20GMT	https://adalightfoot.org/join/	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/join/index.html	(from https://adalightfoot.org/)
12:50:19	51967/51967	---M--	200	added ('OK')	image/png	etag:%2266d76f68-caff%22	https://adalightfoot.org/assets/images/seal-idaho.png	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/assets/images/seal-idaho.png	(from https://adalightfoot.org/)
12:50:20	10634/10634	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202024%2020:19:52%20GMT	https://adalightfoot.org/training/	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/training/index.html	(from https://adalightfoot.org/)
12:50:20	122579/122579	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266d76f68-1ded3%22	https://adalightfoot.org/assets/js/main.min.js	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/assets/js/main.min.js	(from https://adalightfoot.org/)
